Month,#Passengers
2008-01,487566.00
2008-02,430472.00
2008-03,538029.00
2008-04,642260.00
2008-05,556150.00
2008-06,462104.00
2008-07,488676.00
2008-08,444909.00
2008-09,453774.00
2008-10,530690.00
2008-11,460390.00
2008-12,498872.00
2009-01,495955.00
2009-02,445218.00
2009-03,545631.00
2009-04,625767.00
2009-05,541826.00
2009-06,462279.00
2009-07,514099.00
2009-08,501479.00
2009-09,499913.00
2009-10,643761.00
2009-11,558128.00
2009-12,600964.00
2010-01,571998.00
2010-02,438808.00
2010-03,623515.00
2010-04,722003.00
2010-05,604041.00
2010-06,531030.00
2010-07,591425.00
2010-08,535768.00
2010-09,527759.00
2010-10,629502.00
2010-11,566143.00
2010-12,601215.00
2011-01,587296.00
2011-02,587296.00
2011-03,587296.00
2011-04,587296.00
2011-05,587296.00
2011-06,587296.00
2011-07,587296.00
2011-08,587296.00
2011-09,587296.00
2011-10,587296.00
2011-11,587296.00
2011-12,587296.00
2012-01,557895.00
2012-02,531919.00
2012-03,629771.00
2012-04,760337.00
2012-05,626613.00
2012-06,539934.00
2012-07,565787.00
2012-08,559370.00
2012-09,555803.00
2012-10,715247.00
2012-11,576771.00
2012-12,632367.00
2013-01,578777.00
2013-02,505863.00
2013-03,682399.00
2013-04,787087.00
2013-05,685878.00
2013-06,565335.00
2013-07,603517.00
2013-08,541004.00
2013-09,562457.00
2013-10,740875.00
2013-11,606938.00
2013-12,659993.00
2014-01,598980.00
2014-02,523043.00
2014-03,688243.00
2014-04,822207.00
2014-05,701498.00
2014-06,645741.00
2014-07,695677.00
2014-08,639772.00
2014-09,616617.00
2014-10,807652.00
2014-11,721899.00
2014-12,763104.00
2015-01,749987.00
2015-02,599038.00
2015-03,804308.00
2015-04,903304.00
2015-05,786717.00
2015-06,691036.00
2015-07,672705.00
2015-08,691719.00
2015-09,660351.00
2015-10,872719.00
2015-11,774955.00
2015-12,853863.00
2016-01,838766.00
2016-02,743284.00
2016-03,912661.00
2016-04,1014099.00
2016-05,942887.00
2016-06,744773.00
2016-07,836522.00
2016-08,734329.00
2016-09,751675.00
2016-10,930992.00
2016-11,859345.00
2016-12,913739.00
2017-01,884738.00
2017-02,776641.00
2017-03,926312.00
2017-04,1052426.00
2017-05,946809.00
2017-06,807300.00
2017-07,831510.00
2017-08,784686.00
2017-09,703072.00
2017-10,1005506.00
2017-11,901352.00
2017-12,989138.00
2018-01,1004905.00
2018-02,812129.00
2018-03,1067628.00
2018-04,1211405.00
2018-05,1057243.00
2018-06,913583.00
2018-07,984568.00
2018-08,905489.00
2018-09,899356.00
2018-10,1196623.00
2018-11,1042276.00
2018-12,1152936.00
2019-01,1121887.00
2019-02,937789.00
2019-03,1204944.00
2019-04,1333200.00
2019-05,1143311.00
2019-06,1043579.00
2019-07,1062711.00
2019-08,971375.00
2019-09,993623.00
